title,url,time
GET PAID WEEKLY working Shifts for Dallas Businesses!,https://dallas.craigslist.org/ftw/csr/d/richardson-get-paid-weekly-working/7503653902.html,Jul  1
Hiring Owner Ops: Fuel Surcharge .80-.85 Cents Per Mile!!!,https://dallas.craigslist.org/dal/trp/d/addison-hiring-owner-ops-fuel-surcharge/7503653433.html,Jul  1
Work Shifts on Your Own Terms with Snagajob!,https://dallas.craigslist.org/ftw/fbh/d/richardson-work-shifts-on-your-own/7503652529.html,Jul  1
CDL DEDICATED REEFER,https://dallas.craigslist.org/dal/trp/d/carrollton-cdl-dedicated-reefer/7503644528.html,Jul  1
Epoxy Flooring Helper/Installer,https://dallas.craigslist.org/ftw/trd/d/fort-worth-epoxy-flooring-helper/7503641203.html,Jul  1
Class A Regional Company Drivers,https://dallas.craigslist.org/dal/trp/d/dallas-class-regional-company-drivers/7503638898.html,Jul  1
Dispatche - USM,https://dallas.craigslist.org/ndf/lab/d/lewisville-dispatche-usm/7503638331.html,Jul  1
"CDL DRIVER-REGIONAL , GREAT PAY, NEW EQUIPMENT AND BENEFITS!",https://dallas.craigslist.org/dal/trp/d/carrollton-cdl-driver-regional-great/7503634974.html,Jul  1
✪✪ Local ✪✪ ✪✪ Owner Operators ✪✪ ✪✪ Company ✪✪ ✪✪,https://dallas.craigslist.org/dal/trp/d/dallas-local-owner-operators-company/7503634344.html,Jul  1
Make $2500+ weekly with LOWEST RENTAL RATES on market!,https://dallas.craigslist.org/ftw/trp/d/garland-make-2500-weekly-with-lowest/7503631787.html,Jul  1
"CDL- MORE HOME TIME 4 days on, 3days off!",https://dallas.craigslist.org/dal/trp/d/carrollton-cdl-more-home-time-days-on/7503630395.html,Jul  1
"CDL Class A Tractor Trailer Drivers - $5,000 sign on bonus!",https://dallas.craigslist.org/dal/trp/d/addison-cdl-class-tractor-trailer/7503627291.html,Jul  1
Leasing Associate / Social Services Director (Full-Time),https://dallas.craigslist.org/dal/mar/d/richardson-leasing-associate-social/7503624942.html,Jul  1
Leasing Associate / Social Services Director (Full-Time),https://dallas.craigslist.org/dal/bus/d/richardson-leasing-associate-social/7503624940.html,Jul  1
Leasing Associate / Social Services Director (Full-Time),https://dallas.craigslist.org/dal/ofc/d/richardson-leasing-associate-social/7503624939.html,Jul  1
Leasing Associate / Social Services Director (Full-Time),https://dallas.craigslist.org/dal/csr/d/richardson-leasing-associate-social/7503624941.html,Jul  1
Leasing Associate / Social Services Director (Full-Time),https://dallas.craigslist.org/dal/rej/d/richardson-leasing-associate-social/7503624943.html,Jul  1
Leasing Associate / Social Services Director (Full-Time),https://dallas.craigslist.org/dal/sls/d/richardson-leasing-associate-social/7503624944.html,Jul  1
"🚚💲 💲 OTR $0.70 CPM $10,000 Sign on Bonus💲 💲 🚚",https://dallas.craigslist.org/ndf/trp/d/englewood-otr-070-cpm-sign-on-bonus/7503620347.html,Jul  1
Medical Assistant,https://dallas.craigslist.org/dal/hea/d/medical-assistant/7503617880.html,Jul  1
We are Hiring!  $15-$20/hour!!!All positions! Se habla espanol!,https://dallas.craigslist.org/mdf/lab/d/arlington-we-are-hiring-hourall/7503616379.html,Jul  1
Production Operator - $20-23/hr - DOE - Permanent Employment,https://dallas.craigslist.org/sdf/mnu/d/fort-worth-production-operator-hr-doe/7503614348.html,Jul  1
Production Operator - $20-23/hr - DOE - Permanent Employment,https://dallas.craigslist.org/sdf/lab/d/fort-worth-production-operator-hr-doe/7503614346.html,Jul  1
ShiftKey is hiring Inside Sales Account Managers in Irving!,https://dallas.craigslist.org/mdf/sls/d/irving-shiftkey-is-hiring-inside-sales/7503612950.html,Jul  1
General Service tech's wanted,https://dallas.craigslist.org/mdf/lab/d/bedford-general-service-techs-wanted/7503612517.html,Jul  1
"Zoom sales $7,000 per sale. UP TO 5 Sales per DAY!- Commission based",https://dallas.craigslist.org/dal/sls/d/dallas-zoom-sales-7000-per-sale-up-to/7503612314.html,Jul  1
⭐Owner Operator Wanted (Home Time & Great Fuel Surcharge)⭐,https://dallas.craigslist.org/ftw/trp/d/irving-owner-operator-wanted-home-time/7503611789.html,Jul  1
ShiftKey is now hiring Accounts Receivable Specialists,https://dallas.craigslist.org/dal/acc/d/irving-shiftkey-is-now-hiring-accounts/7503611366.html,Jul  1
Used Auto Sales - BHPH,https://dallas.craigslist.org/dal/sls/d/garland-used-auto-sales-bhph/7503607670.html,Jul  1
🚚 Dedicated Regional Owner Op Freight - SIGN ON BONUS 🚚,https://dallas.craigslist.org/ndf/trp/d/rockwall-dedicated-regional-owner-op/7503602353.html,Jul  1
"Traveling HVAC Filter Tech- $1,200 SIGN ON BONUS! We Will Train!",https://dallas.craigslist.org/dal/lab/d/addison-traveling-hvac-filter-tech-sign/7503600970.html,Jul  1
Handyman/woman *HIRING BONUS*,https://dallas.craigslist.org/ftw/trd/d/fort-worth-handyman-woman-hiring-bonus/7503600655.html,Jul  1
Night Auditor -  $20 hourly + Benefits,https://dallas.craigslist.org/dal/acc/d/fort-worth-night-auditor-20-hourly/7503600247.html,Jul  1
Car Washer/ Mobile Detailing,https://dallas.craigslist.org/ndf/lab/d/richardson-car-washer-mobile-detailing/7503599028.html,Jul  1
Pickup office lunch | Up to $40+ for 45-60 mins (Addison),https://dallas.craigslist.org/ndf/lab/d/addison-pickup-office-lunch-up-to-40/7503596855.html,Jul  1
Pickup office lunch | Up to $40+ for 45-60 mins (Plano/Frisco),https://dallas.craigslist.org/ndf/ofc/d/plano-pickup-office-lunch-up-to-40-for/7503596501.html,Jul  1
Night Auditor - $20 hourly + Benefits,https://dallas.craigslist.org/dal/acc/d/dallas-night-auditor-20-hourly-benefits/7503594425.html,Jul  1
Night Auditor - $20 per hour  + Benefits,https://dallas.craigslist.org/dal/acc/d/lewisville-night-auditor-20-per-hour/7503594236.html,Jul  1
"Yard Spotter – $25.00/Hour - Earn $61,750/year!",https://dallas.craigslist.org/sdf/trp/d/cedar-hill-yard-spotter-hour-earn-year/7503593323.html,Jul  1
"💪Work It, Grab It,🗑️Trash It, Cash It! 🤑 Next Day Pay Available!💰",https://dallas.craigslist.org/ndf/lab/d/grapevine-work-it-grab-ittrash-it-cash/7503589456.html,Jul  1
Landscapers,https://dallas.craigslist.org/dal/gov/d/richardson-landscapers/7503585051.html,Jul  1
Hiring CAR HAULERS in Dallas/Ft. Worth Area,https://dallas.craigslist.org/sdf/trp/d/wills-point-hiring-car-haulers-in/7503584253.html,Jul  1
I need 3 More Drivers For Tuesday! Additional $750 Your First Check!,https://dallas.craigslist.org/dal/trp/d/dallas-need-more-drivers-for-tuesday/7503578620.html,Jul  1
Eastern Logistics - High pay freight direct from shippers and brokers!,https://dallas.craigslist.org/ftw/trp/d/grand-prairie-eastern-logistics-high/7503580950.html,Jul  1
UNDERGROUND AND OVERHEAD LINEMAN,https://dallas.craigslist.org/ndf/lab/d/prosper-underground-and-overhead-lineman/7503580116.html,Jul  1
Dedicated TX to PA run *New Truck*,https://dallas.craigslist.org/dal/trp/d/dallas-dedicated-tx-to-pa-run-new-truck/7503576815.html,Jul  1
OTR CDL A -MAKE UP TO 95CPM,https://dallas.craigslist.org/dal/trp/d/kansas-city-otr-cdl-make-up-to-95cpm/7503571517.html,Jul  1
OTR CDL A -MAKE UP TO 95CPM,https://dallas.craigslist.org/dal/trp/d/kansas-city-otr-cdl-make-up-to-95cpm/7503569504.html,Jul  1
Quality Movers — Movers and Drivers,https://dallas.craigslist.org/ndf/lab/d/frisco-quality-movers-movers-and-drivers/7503561393.html,Jul  1
🔥 🚚 Limitless Pay! 🚩 Home Weekends! 🚩 Class A! 🚚 🔥,https://dallas.craigslist.org/ftw/trp/d/fort-worth-limitless-pay-home-weekends/7503560674.html,Jul  1
Apply with Bluebird Homecare Today (Multiple Caregiver / CNA Openings),https://dallas.craigslist.org/mdf/hea/d/fort-worth-apply-with-bluebird-homecare/7503560642.html,Jul  1
Office Manager For Diesel Mechanic Shop,https://dallas.craigslist.org/dal/ofc/d/dallas-office-manager-for-diesel/7503559138.html,Jul  1
🚧 🚦 👷‍♀️💲Hiring for Flagging & General Labor,https://dallas.craigslist.org/dal/lab/d/denton-hiring-for-flagging-general-labor/7503559062.html,Jul  1
Roadside Assistance Driver Positions Available!!!,https://dallas.craigslist.org/dal/trp/d/dallas-roadside-assistance-driver/7503558220.html,Jul  1
🔴OBTAIN *750+ *CREDIT* SCORE IN 24HR🔴EVEN IF YOU HAVE HORRIBLE CREDIT NOW!,https://dallas.craigslist.org/dal/sls/d/obtain-750-credit-score-in-24hreven-if/7503557196.html,Jul  1
🥪 Cucos Sandwich Shop | Cashier/FOH Team Member🥪,https://dallas.craigslist.org/ftw/fbh/d/north-richland-hills-cucos-sandwich/7503554407.html,Jul  1
DIESEL TECHNICIAN / DIESEL MECHANIC | $23-$28/HOUR,https://dallas.craigslist.org/dal/trd/d/midlothian-diesel-technician-diesel/7503554040.html,Jul  1
Movers needed START TUESDAY!!,https://dallas.craigslist.org/sdf/lab/d/dallas-movers-needed-start-tuesday/7503553220.html,Jul  1
"MOBILE DIESEL MECHANIC | $25-$29/HOUR + $5,000 SIGN ON BONUS!",https://dallas.craigslist.org/dal/trd/d/dallas-mobile-diesel-mechanic-hour-sign/7503552335.html,Jul  1
⚡️NIGHTLY TRASH PICK UP! / WEEKLY PAY! / GET FIT!⚡️,https://dallas.craigslist.org/ndf/lab/d/mckinney-nightly-trash-pick-up-weekly/7503552137.html,Jul  1
Vactor Truck Operator,https://dallas.craigslist.org/dal/trp/d/dallas-vactor-truck-operator/7503552133.html,Jul  1
MAKE MONEY TEACHING MUSIC,https://dallas.craigslist.org/dal/edu/d/roanoke-make-money-teaching-music/7503550162.html,Jul  1
"Now Hiring! Class A CDL Drivers - Home Weekly - $112,000/year",https://dallas.craigslist.org/ftw/trp/d/grand-prairie-now-hiring-class-cdl/7503549490.html,Jul  1
Chemist Needed,https://dallas.craigslist.org/dal/tch/d/garland-chemist-needed/7503546340.html,Jul  1
Hardwood Flooring Crew Member,https://dallas.craigslist.org/ftw/lab/d/fort-worth-hardwood-flooring-crew-member/7503545639.html,Jul  1
Now Hiring! Class-A Truck Driver - Dedicated Lane! $.60/Mile!,https://dallas.craigslist.org/dal/trp/d/addison-now-hiring-class-truck-driver/7503544636.html,Jul  1
⚡️NIGHTLY TRASH PICK UP! / WEEKLY PAY! / GET FIT!⚡️,https://dallas.craigslist.org/sdf/lab/d/grand-prairie-nightly-trash-pick-up/7503543673.html,Jul  1
HIRING OWNER-OPERATORS,https://dallas.craigslist.org/dal/trp/d/wilmer-hiring-owner-operators/7503539616.html,Jul  1
Pool Leak Detection Technician,https://dallas.craigslist.org/ftw/lab/d/fort-worth-pool-leak-detection/7503539019.html,Jul  1
Demonstration Specialist,https://dallas.craigslist.org/dal/ret/d/dallas-demonstration-specialist/7503537790.html,Jul  1
Porter,https://dallas.craigslist.org/ftw/trp/d/arlington-porter/7503534283.html,Jul  1
"DROP TRAILERS IN TYLER, TX READY TO MOVE MIDWEST AND SOUTHEAST O/O",https://dallas.craigslist.org/dal/trp/d/dallas-drop-trailers-in-tyler-tx-ready/7503534235.html,Jul  1
Mobile Installation Specialist for Fleet Project work,https://dallas.craigslist.org/mdf/trd/d/lebanon-mobile-installation-specialist/7503534158.html,Jul  1
Mobile 12 volt installer for GPS devices,https://dallas.craigslist.org/mdf/trd/d/lebanon-mobile-12-volt-installer-for/7503533437.html,Jul  1
$85k-$106k/YR * Paid Weekly * CDL Driver * REG & OTR!,https://dallas.craigslist.org/dal/trp/d/houston-85k-106k-yr-paid-weekly-cdl/7503533285.html,Jul  1
Heavy equipment mechanic/Welder  $$$,https://dallas.craigslist.org/dal/trd/d/fate-heavy-equipment-mechanic-welder/7503533172.html,Jul  1
PI LAW FIRM CASE MANAGER,https://dallas.craigslist.org/dal/lgl/d/dallas-pi-law-firm-case-manager/7503532676.html,Jul  1
Make Ready Technician Needed,https://dallas.craigslist.org/mdf/lab/d/irving-make-ready-technician-needed/7503530778.html,Jul  1
DEDICATED RUNS 0.65 $ per mile+ Benefits,https://dallas.craigslist.org/ftw/trp/d/fort-worth-dedicated-runs-065-per-mile/7503530109.html,Jul  1
Drivers Wanted for Moving Company,https://dallas.craigslist.org/dal/trp/d/dallas-drivers-wanted-for-moving-company/7503528526.html,Jul  1
Pizza Maker at MIDICI EULESS,https://dallas.craigslist.org/ndf/fbh/d/euless-pizza-maker-at-midici-euless/7503526497.html,Jul  1
Groundskeeper Needed,https://dallas.craigslist.org/dal/lab/d/garland-groundskeeper-needed/7503524042.html,Jul  1
Groundskeeper Needed,https://dallas.craigslist.org/mdf/lab/d/irving-groundskeeper-needed/7503523304.html,Jul  1
CDL Class A Driver | Home Daily!,https://dallas.craigslist.org/ftw/trp/d/fort-worth-cdl-class-driver-home-daily/7503519331.html,Jul  1
Make Ready Technician Needed,https://dallas.craigslist.org/dal/lab/d/garland-make-ready-technician-needed/7503519128.html,Jul  1
Make Ready Technician Needed,https://dallas.craigslist.org/mdf/lab/d/irving-make-ready-technician-needed/7503517739.html,Jul  1
CDL-A OWNER OPERATOR TRUCK DRIVER OPPORTUNITIES,https://dallas.craigslist.org/dal/trp/d/dallas-cdl-owner-operator-truck-driver/7503514384.html,Jul  1
CDL-A / Truck Driver OTR,https://dallas.craigslist.org/dal/trp/d/dallas-cdl-truck-driver-otr/7503515688.html,Jul  1
Class A CDL drivers - .65cpm,https://dallas.craigslist.org/mdf/trp/d/fort-worth-class-cdl-drivers-65cpm/7503515205.html,Jul  1
Make Ready Technician Needed,https://dallas.craigslist.org/ftw/lab/d/fort-worth-make-ready-technician-needed/7503514961.html,Jul  1
CDL DRIVERS NEEDED,https://dallas.craigslist.org/dal/trp/d/mesquite-cdl-drivers-needed/7503514559.html,Jul  1
"FOOD GRADE TANK REGIONAL CDL TRUCK DRIVER | $100K ANNUALLY, $5K SIGN",https://dallas.craigslist.org/dal/trp/d/dallas-food-grade-tank-regional-cdl/7503514467.html,Jul  1
Immediate hire-COMMERCIAL PLUMBERS,https://dallas.craigslist.org/dal/trd/d/dallas-immediate-hire-commercial/7503512906.html,Jul  1
Universal Logistics hiring drivers! offering Amazing Benefits package!,https://dallas.craigslist.org/mdf/trp/d/arlington-universal-logistics-hiring/7503512870.html,Jul  1
Make Ready Technician Needed,https://dallas.craigslist.org/ndf/lab/d/addison-make-ready-technician-needed/7503512474.html,Jul  1
Owner Operators Wanted (Dedicated DFW to Houston & SO LA),https://dallas.craigslist.org/ftw/trp/d/roanoke-owner-operators-wanted/7503512331.html,Jul  1
**Class A CDL drivers wanted!! SUPER DEDICATED R/T ROUTES! *HOME TIME!,https://dallas.craigslist.org/dal/trp/d/class-cdl-drivers-wanted-super/7503509768.html,Jul  1
Service Technician Needed,https://dallas.craigslist.org/ndf/lab/d/addison-service-technician-needed/7503508636.html,Jul  1
Hiring Movers! $15-$28/hour,https://dallas.craigslist.org/dal/lab/d/richardson-hiring-movers-hour/7503507004.html,Jul  1
BUILT BY DRIVERS FOR DRIVERS,https://dallas.craigslist.org/dal/trp/d/homer-glen-built-by-drivers-for-drivers/7503506764.html,Jul  1
Chaplain,https://dallas.craigslist.org/ftw/npo/d/fort-worth-chaplain/7503506592.html,Jul  1
GET PAID WEEKLY working Shifts for Dallas Businesses!,https://dallas.craigslist.org/ftw/csr/d/richardson-get-paid-weekly-working/7503506423.html,Jul  1
Work Shifts on Your Own Terms with Snagajob!,https://dallas.craigslist.org/ftw/fbh/d/richardson-work-shifts-on-your-own/7503506275.html,Jul  1
Lyft Driver (part-time / full-time),https://dallas.craigslist.org/dal/lab/d/dallas-lyft-driver-part-time-full-time/7503492094.html,Jul  1
"DRY VAN REGIONAL CDL TRUCK DRIVER | $85,000 - $90,000 ANNUAL AVERAGE",https://dallas.craigslist.org/dal/trp/d/addison-dry-van-regional-cdl-truck/7503501153.html,Jul  1
Sodexo Live is seeking Executive Stewards!,https://dallas.craigslist.org/dal/fbh/d/dallas-sodexo-live-is-seeking-executive/7503500540.html,Jul  1
💲💲LEASE PURCHASE FOR CDL A DRIVERS WITH HAZMAT💲💲,https://dallas.craigslist.org/ftw/trp/d/des-plaines-lease-purchase-for-cdl/7503500533.html,Jul  1
Groundskeeper Needed,https://dallas.craigslist.org/ndf/lab/d/addison-groundskeeper-needed/7503500162.html,Jul  1
Drive with Gopuff in Dallas - Flexible Hours,https://dallas.craigslist.org/dal/fbh/d/dallas-drive-with-gopuff-in-dallas/7503498946.html,Jul  1
💲 Regional and OTR Options! Great pay and Miles! 10K Bonus💲,https://dallas.craigslist.org/ftw/trp/d/fort-worth-regional-and-otr-options/7503499188.html,Jul  1
⭐❗️❗️CDLA  Drivers 🚛💲UP TO .63cpm  TX REGIONAL & OTR 48 STATES,https://dallas.craigslist.org/ftw/trp/d/addison-cdla-drivers-up-to-63cpm-tx/7503496049.html,Jul  1
Sodexo is seeking a Sous Chef II!,https://dallas.craigslist.org/dal/fbh/d/dallas-sodexo-is-seeking-sous-chef-ii/7503495189.html,Jul  1
Class A CDL Drivers **$1500 Sign On Bonus**,https://dallas.craigslist.org/dal/trp/d/irving-class-cdl-drivers-1500-sign-on/7503495124.html,Jul  1
SOLO OTR Class A CDL Drivers needed-Immediate Hire,https://dallas.craigslist.org/dal/trp/d/lewisville-solo-otr-class-cdl-drivers/7503493941.html,Jul  1
Class A/B CDL Drivers Needed!!,https://dallas.craigslist.org/dal/trp/d/grand-prairie-class-b-cdl-drivers-needed/7503493402.html,Jul  1
Pneumatics,https://dallas.craigslist.org/dal/trp/d/dallas-pneumatics/7503490072.html,Jul  1
"✅$1500-1750/week MIN guarantee| CDL-A | OTR | Power Only LOADS Amazon,",https://dallas.craigslist.org/dal/trp/d/dallas-week-min-guarantee-cdl-otr-power/7503490023.html,Jul  1
CDL A Truck Drivers - $0.94-$0.97 CPM & Home Weekly!,https://dallas.craigslist.org/ftw/trp/d/fort-worth-cdl-truck-drivers-cpm-home/7503489960.html,Jul  1
O/OPS/ FLEET OWNERS...DRY VAN + OPEN DECK NEEDED TO RUN OUR FREIGHT,https://dallas.craigslist.org/ftw/trp/d/dallas-ops-fleet-ownersdry-van-open/7503487472.html,Jul  1
HOJALATERO BODY MAN O UN PREPARADOR SOLICITO PARA BODY SHOP,https://dallas.craigslist.org/dal/trd/d/garland-hojalatero-body-man-un/7503487264.html,Jul  1
"80CPM/Team*70CPM/Solo*Dry Van**Class A Drivers**Ontario,CA",https://dallas.craigslist.org/dal/trp/d/ontario-80cpm-team70cpm-solodry/7503485711.html,Jul  1
South East Dedicated Lanes - Best Fleets Winner - $.58 -$.68 CPM!,https://dallas.craigslist.org/dal/trp/d/dallas-south-east-dedicated-lanes-best/7503485664.html,Jul  1
DON'T GET BURNED BY A BAD L/P  HAZMAT DRIVERS 150K+ A YEAR 2020 TRUCKS,https://dallas.craigslist.org/dal/trp/d/dont-get-burned-by-bad-p-hazmat-drivers/7503484770.html,Jul  1
Freight Agent,https://dallas.craigslist.org/dal/trp/d/walnut-grove-freight-agent/7503483397.html,Jul  1
Night Warehouse Selector - Garland - Excellent Starting Pay!,https://dallas.craigslist.org/dal/lab/d/garland-night-warehouse-selector/7503483252.html,Jul  1
Sprinkler Repair Technicians Needed.  $1500-$2000 per week to start.,https://dallas.craigslist.org/dal/trd/d/dallas-sprinkler-repair-technicians/7503482079.html,Jul  1
Warehouse Cargo Agent or Office Agent - $1500 Sign On Bonus,https://dallas.craigslist.org/ndf/lab/d/dallas-warehouse-cargo-agent-or-office/7503481107.html,Jul  1
City Works Ft. Worth Seeking an Experienced Line Cooks!,https://dallas.craigslist.org/ftw/fbh/d/fort-worth-city-works-ft-worth-seeking/7503480804.html,Jul  1
"Driver Dedicated Route (Hawkins, TX) – Home EVERY Weekend! 75k/yr!",https://dallas.craigslist.org/ftw/trp/d/dallas-driver-dedicated-route-hawkins/7503476940.html,Jul  1
Air Conditioned Plant-50 Order Pullers-  2nd Shift,https://dallas.craigslist.org/dal/lab/d/arlington-air-conditioned-plant-50/7503476548.html,Jul  1
Company Driver (Southwest Regional) – Stay Between NE & TX! $75k/Yr,https://dallas.craigslist.org/ndf/trp/d/denton-company-driver-southwest/7503475842.html,Jul  1
Company Driver (Southwest Regional) – Stay Between NE & TX! $75k/Yr,https://dallas.craigslist.org/mdf/trp/d/arlington-company-driver-southwest/7503474774.html,Jul  1
CDL CLASS A DRIVERS $1800-$2400 SATURDAY AND SUNDAY HOME!,https://dallas.craigslist.org/dal/trp/d/forney-cdl-class-drivers-saturday-and/7503474449.html,Jul  1
OWNER OPERATORS AND DRIVERS…DRY VAN…GREAT RATES,https://dallas.craigslist.org/dal/trp/d/dallas-owner-operators-and-driversdry/7503473884.html,Jul  1
Round Trip Dedicated - Best Fleets to Drive For | $.58-$.68 CPM!,https://dallas.craigslist.org/dal/trp/d/dallas-round-trip-dedicated-best-fleets/7503472805.html,Jul  1
"SIGN COMPANY FABRICATOR/HELPER - Great Pay, Immediate hire",https://dallas.craigslist.org/mdf/trd/d/lewisville-sign-company-fabricator/7503470704.html,Jul  1
Owner Operator,https://dallas.craigslist.org/dal/trp/d/indianola-owner-operator/7503469588.html,Jul  1
Remote Customer Service Positions,https://dallas.craigslist.org/ndf/csr/d/mckinney-remote-customer-service/7503468201.html,Jul  1
Assistant needed,https://dallas.craigslist.org/dal/hea/d/dallas-assistant-needed/7503466882.html,Jul  1
